System Info:
Linux kali 6.12.25-amd64 #1 SMP PREEMPT_DYNAMIC Kali 6.12.25-1kali1 (2025-04-30) x86_64 GNU/Linux
User:
luci
Processes:
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2  24660 15440 ?        Ss   02:30   0:27 /usr/lib/systemd/systemd --system --deserialize=59 splash
root           2  0.0  0.0      0     0 ?        S    02:30   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    02:30   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-kvfree_rcu_reclaim]
root           5  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-rcu_gp]
root           6  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-sync_wq]
root           7  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-netns]
root          13  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        I    02:30   0:00 [rcu_tasks_kthread]
root          15  0.0  0.0      0     0 ?        I    02:30   0:00 [rcu_tasks_rude_kthread]
root          16  0.0  0.0      0     0 ?        I    02:30   0:00 [rcu_tasks_trace_kthread]
root          17  0.0  0.0      0     0 ?        S    02:30   0:03 [ksoftirqd/0]
root          18  0.2  0.0      0     0 ?        I    02:30   1:17 [rcu_preempt]
root          19  0.0  0.0      0     0 ?        S    02:30   0:04 [rcu_exp_par_gp_kthread_worker/1]
root          20  0.0  0.0      0     0 ?        S    02:30   0:01 [rcu_exp_gp_kthread_worker]
root          21  0.0  0.0      0     0 ?        S    02:30   0:01 [migration/0]
root          22  0.0  0.0      0     0 ?        S    02:30   0:00 [idle_inject/0]
root          23  0.0  0.0      0     0 ?        S    02:30   0:00 [cpuhp/0]
root          24  0.0  0.0      0     0 ?        S    02:30   0:00 [cpuhp/1]
root          25  0.0  0.0      0     0 ?        S    02:30   0:00 [idle_inject/1]
root          26  0.0  0.0      0     0 ?        S    02:30   0:04 [migration/1]
root          27  0.0  0.0      0     0 ?        S    02:30   0:15 [ksoftirqd/1]
root          30  0.0  0.0      0     0 ?        S    02:30   0:00 [cpuhp/2]
root          31  0.0  0.0      0     0 ?        S    02:30   0:00 [idle_inject/2]
